palabra,primera N1,segunda N1,tercera N1,cuarta N1,quinta N1
pierda,"['pierda', 0]","['inaugurado', 5.329070518200751e-15]","['bajando', 1.8318679906315083e-14]","['payaso', 4.296563105299356e-14]","['viaja', 6.17284001691587e-14]"
Debe,"['Debe', 0]","['asuntos', 3.419486915845482e-14]","['elecciones', 1.3700152123874432e-13]","['cuyo', 5.477840403500522e-13]","['estructura', 5.495603971894525e-13]"
Quieres,"['Quieres', 0]","['casi', 2.2470914018413168e-13]","['van', 8.982814492242142e-13]","['mucha', 8.126277428743833e-12]","['puesto', 1.0969336550203934e-11]"
segundos,"['segundos', 0]","['aspecto', 1.1679546219056647e-13]","['nombres', 1.1690648449302898e-13]","['esperanza', 2.0761170560490427e-13]","['municipal', 4.684030940893535e-13]"
voluntad,"['voluntad', 0]","['avión', 7.438494264988549e-14]","['ofrecer', 4.657385588302532e-13]","['correcto', 6.682432385218817e-13]","['salvar', 1.511013536514838e-12]"
140,"['140', 0]","['seco', 2.3314683517128287e-15]","['diarios', 5.329070518200751e-15]","['darles', 2.142730437526552e-14]","['juzgar', 8.58202398035246e-14]"
tomen,"['tomen', 0]","['pudiste', 7.438494264988549e-15]","['poquito', 1.1546319456101628e-14]","['mina', 1.6542323066914832e-14]","['supo', 2.2315482794965646e-14]"
odio.,"['odio.', 0]","['engañan', 1.5271387487914012e-09]","['subirse', 6.553919518204054e-09]","['das.', 2.2209050265509234e-08]","['insultes', 1.0342595802015353e-07]"
Simplemente,"['Simplemente', 0]","['estaré', 1.3988810110276972e-14]","['colectivo', 3.1308289294429414e-14]","['Miren', 5.540012892879531e-14]","['consideran', 8.64863736182997e-14]"
hablo,"['hablo', 0]","['malas', 2.4424906541753444e-15]","['perfectamente', 2.4424906541753444e-15]","['oh', 1.0325074129013956e-14]","['ocupa', 2.3203661214665772e-14]"
chilangos,"['chilangos', 0]","['CUENTAS', 6.243397413951968e-05]","['@juncalssolano', 0.000497723026807062]","['CHTPM', 0.0010764268933582954]","['PERSONA', 0.001122568862958584]"
🤣😂,"['🤣', 0]","['vergüenza', 0]","['😂', 0]","['🤣🤣🤣', 0]","['😂😂😂', 0]"
convertido,"['convertido', 0]","['fomentar', 2.0761170560490427e-14]","['fuiste', 4.6851411639181606e-14]","['adultos', 1.8607337892717624e-13]","['infierno', 1.8673951274195133e-13]"
explica,"['explica', 0]","['extensión', 1.6764367671839864e-14]","['Cualquier', 1.0458300891968975e-13]","['recuperar', 1.5076828674409626e-13]","['Habla', 3.3784086639343514e-13]"
cumplen,"['cumplen', 0]","['Ningún', 3.6637359812630166e-15]","['Eran', 8.215650382226158e-15]","['quedando', 3.297362383136715e-14]","['generar', 3.319566843629218e-14]"
mato,"['mato', 0]","['Tenga', 1.3322676295501878e-15]","['popularidad', 6.816769371198461e-14]","['niega', 8.926193117986259e-14]","['quejas', 1.0036416142611415e-13]"
ajena.,"['ajena.', 0]","['honesta,', 8.073985924283988e-12]","['gobernar?', 1.8895318643075143e-10]","['cuates', 1.6596728436013564e-09]","['bla,', 1.6379481770911752e-08]"
piense,"['piense', 0]","['asqueroso', 7.51620987671231e-14]","['controla', 8.426592756904938e-14]","['tocó', 9.392486788328824e-14]","['sentidos', 1.1435297153639112e-13]"
urnas,"['urnas', 0]","['atacas', 1.4084743560349722e-06]","['2030', 2.285777620403273e-06]","['fifi', 2.3719761615970114e-06]","['Cartel', 3.7183950604147142e-06]"
máximo,"['máximo', 0]","['asunto', 9.857670235646765e-13]","['mejores', 1.5339951531245788e-12]","['existe', 1.5412116027846423e-12]","['toma', 2.207900529072049e-12]"
alguno,"['alguno', 0]","['maldita', 9.992007221626409e-15]","['ciencia', 9.015010959956271e-14]","['piensas', 1.596500709410975e-13]","['construir', 2.4924506902834764e-13]"
@Mary_Luisa_AG,"['@Mary_Luisa_AG', 0]","['@MaxKaiser75', 1.5306300284456675e-05]","['L12.', 8.836647089427441e-05]","['verdulera', 8.906396499974711e-05]","['L12,', 9.462378477020916e-05]"
vino,"['vino', 0]","['nota', 2.284838984678572e-13]","['habría', 2.2870594307278225e-13]","['atrás', 9.128253708468037e-13]","['metros', 9.161560399206792e-13]"
acaban,"['acaban', 0]","['caracteriza', 3.3306690738754696e-16]","['comprado', 3.885780586188048e-15]","['EEUU', 1.099120794378905e-14]","['caro', 2.8199664825478976e-14]"
"nuevo,","['nuevo,', 0]","['usted.', 5.442905226527017e-08]","['menos.', 2.81356713927039e-07]","['poco,', 3.480446092440914e-07]","['solo.', 4.614260803448289e-07]"
AÑOS,"['AÑOS', 0]","['@KARLARABELO', 0.0011779969729611706]","['comadres', 0.0014325467616225218]","['NADIE', 0.0014381409236131626]","['compadres', 0.002298266414466621]"
mañanera,"['mañanera', 0]","['@SCJN', 3.1493524728087863e-06]","['@ArturoZaldivarL', 4.218511917786216e-06]","['@SenadoresdelPAN', 9.267453471739628e-06]","['Congruencia', 9.334111749859098e-06]"
Tampoco,"['Tampoco', 0]","['imbécil', 3.0531133177191805e-14]","['ponen', 1.2212453270876722e-13]","['Aun', 2.3014923300479495e-13]","['Baja', 2.751132655021138e-13]"
conversión,"['conversión', 0]","['falsa', 2.4646951146678475e-14]","['dirá', 3.375077994860476e-14]","['racismo', 6.905587213168474e-14]","['lujo', 1.7619239400801234e-13]"
evidente,"['evidente', 0]","['llaman', 1.7763568394002505e-14]","['billetes', 1.7763568394002505e-14]","['sueños', 1.5898393712632242e-13]","['defender', 3.589351038613131e-13]"
ó,"['ó', 0]","['centros', 4.75175454539567e-14]","['animales', 4.2865710980777294e-13]","['alcanzar', 1.7167378629778796e-12]","['niveles', 2.323363723633065e-12]"
osea,"['osea', 0]","['país!', 1.5638197329304049e-06]","['eso.', 1.8100637789730811e-06]","['hacer,', 1.8684990347184183e-06]","['aquí.', 1.932398490556153e-06]"
críticas,"['críticas', 0]","['Listo', 1.6653345369377348e-15]","['llegan', 1.4876988529977098e-14]","['Nivel', 1.3355982986240633e-13]","['dejas', 3.234079670733081e-13]"
"insultos,","['insultos,', 0]","['TIENES', 4.311426383685202e-07]","['insultar,', 2.4601692744319337e-05]","['insultar.', 2.5117608331903796e-05]","['cubrebocas', 3.856062650620107e-05]"
quedado,"['quedado', 0]","['hicimos', 3.3306690738754696e-15]","['cayó', 2.90878432451791e-14]","['culpable', 5.1736392947532295e-14]","['Digo', 8.071321389024888e-14]"
estuvieron,"['estuvieron', 0]","['cuesta', 2.0095036745715333e-14]","['producen', 1.0147438445073931e-13]","['agradezco', 1.0191847366058937e-13]","['ceremonia', 1.2578826869003024e-13]"
copia,"['copia', 0]","['inició', 3.6637359812630166e-15]","['listos', 5.784261958297066e-14]","['Dale', 1.7741363933510002e-13]","['maravilloso', 2.318145675417327e-13]"
supuesta,"['supuesta', 0]","['boleto', 2.220446049250313e-16]","['prometiste', 6.661338147750939e-16]","['vacunas', 5.551115123125783e-15]","['gobernar', 1.3655743202889425e-14]"
aportas,"['aportas', 0]","['lastima', 2.5710108408905086e-07]","['pidan', 1.9559897243004443e-06]","['indigna', 2.598437242373741e-06]","['MUY', 2.607891417816255e-06]"
"estado,","['estado,', 0]","['Dios.', 4.547795440235092e-08]","['hecho.', 1.446179451747298e-07]","['12.', 2.1031050168041077e-07]","['hace.', 3.925804639148822e-07]"
correr,"['correr', 0]","['Asi', 5.440092820663267e-15]","['Maldita', 2.1538326677728037e-14]","['suena', 4.851674617611934e-14]","['che', 1.346700528870315e-13]"
usas,"['usas', 0]","['aprende', 1.9984014443252818e-15]","['generan', 7.66053886991358e-15]","['fina', 1.1102230246251565e-14]","['méritos', 2.4646951146678475e-14]"
SEA,"['SEA', 0]","['SEP', 1.3801781939548619e-10]","['tamal', 3.2659842608140366e-09]","['paren', 1.4114875734883015e-07]","['sobretodo', 1.2971749414614209e-06]"
"expresión,","['expresión,', 0]","['impuestos?', 1.5798164998415132e-09]","['emergencia.', 4.442916257119123e-09]","['cuánta', 5.917891399143116e-09]","['tuyo.', 5.8961401205870345e-08]"
maneja,"['maneja', 0]","['Doña', 1.1102230246251565e-16]","['gane', 6.8833827526759706e-15]","['llegues', 1.432187701766452e-14]","['repartir', 1.8096635301390052e-14]"
damos,"['damos', 0]","['justificar', 2.3092638912203256e-14]","['brindar', 3.83026943495679e-14]","['declarar', 1.0647038806155251e-13]","['apuesto', 2.4924506902834764e-13]"
pides,"['pides', 0]","['robaste', 2.4424906541753444e-15]","['paja', 3.2529534621517087e-14]","['enano', 3.5083047578154947e-14]","['locas', 4.063416270128073e-14]"
"tellez,","['tellez,', 0]","['PERSONAS', 0.0003111830188924358]","['deplorable', 0.000357998198339593]","['sexenio.', 0.0012843098780336293]","['sexenio,', 0.0012876422081794514]"
lealtad,"['lealtad', 0]","['mire', 5.551115123125783e-16]","['enfermos', 3.9968028886505635e-15]","['respaldo', 5.573319583618286e-14]","['coma', 6.650235917504688e-14]"
votaste,"['votaste', 0]","['votara', 3.7945791175886256e-07]","['MAMES', 4.543483296259865e-07]","['votará', 4.875211837562787e-07]","['votaré', 4.933025986586514e-07]"
Alejandro,"['Alejandro', 0]","['sufrimiento', 1.354472090042691e-14]","['daría', 6.850076061937216e-14]","['camisa', 1.4310774787418268e-13]","['acepta', 2.1682655670929307e-13]"
@laishawilkins,"['@laishawilkins', 0]","['@gpplural', 6.0610285074758075e-05]","['@lopezobrador_', 6.122825931098586e-05]","['@lopezdoriga', 6.122825931098586e-05]","['@lopezobrador', 6.122825931098586e-05]"
infraestructura,"['infraestructura', 0]","['fuertes', 7.960299086562372e-14]","['té', 1.2434497875801753e-13]","['movimientos', 1.7963408538435033e-13]","['tuviera', 4.970468481246826e-13]"
Loret,"['Loret', 0]","['Abrazos', 1.4610831045036576e-07]","['lejos.', 1.7127816021034192e-07]","['ofensa', 2.782895124342488e-07]","['revisen', 3.75657029705323e-07]"
detrás,"['detrás', 0]","['unidad', 3.019806626980426e-14]","['minuto', 1.2112533198660458e-13]","['Quizás', 2.7200464103316335e-13]","['Antes', 1.0919043447188415e-12]"
reto,"['reto', 0]","['cheque', 2.9531932455029164e-14]","['preocupe', 4.2299497238218464e-14]","['sepas', 5.762057497804562e-14]","['presta', 7.549516567451064e-14]"
fines,"['fines', 0]","['estación', 1.176836406102666e-13]","['promoción', 4.71511718558304e-13]","['víctimas', 1.056932319443149e-12]","['Cuánto', 2.9540814239226165e-12]"
pasaron,"['pasaron', 0]","['pendiente', 1.4876988529977098e-14]","['disculpas', 2.353672812205332e-14]","['indispensable', 3.3639757646142243e-14]","['sucedido', 1.5876189252139739e-13]"
"risa,","['risa,', 0]","['Puros', 5.08715292113493e-11]","['mexicanos.', 4.009861331866205e-09]","['miserable.', 1.2430641849192625e-08]","['disfrazada', 1.5326392488468343e-08]"
caigas,"['caigas', 0]","['caigan', 1.1732270710496095e-10]","['Faltan', 7.968026760618585e-08]","['uds', 1.0993651866630927e-07]","['admiras', 4.1971457676037716e-07]"
pasaste,"['pasaste', 0]","['ridícula', 2.886579864025407e-15]","['acabando', 4.440892098500626e-15]","['Hermoso', 2.220446049250313e-14]","['regresan', 2.5757174171303632e-14]"
conseguir,"['conseguir', 0]","['empleo', 1.0469403122215226e-13]","['calle', 1.0491607582707729e-13]","['gustaría', 4.197753256107717e-13]","['Aunque', 1.674216321134736e-12]"
manejo,"['manejo', 0]","['escudo', 4.218847493575595e-15]","['pierde', 1.709743457922741e-14]","['requisito', 8.72635297355373e-14]","['despierta', 4.760636329592671e-13]"
convencer,"['convencer', 0]","['duele', 1.7985612998927536e-14]","['tránsito', 1.7985612998927536e-14]","['merece', 4.9960036108132044e-14]","['iban', 1.6153745008296028e-13]"
ilegal,"['ilegal', 0]","['blanca', 2.886579864025407e-15]","['interesa', 1.2101430968414206e-14]","['termina', 4.785061236134425e-14]","['héroe', 7.494005416219807e-14]"
listos,"['listos', 0]","['Dale', 3.26405569239796e-14]","['copia', 5.784261958297066e-14]","['maravilloso', 5.806466418789569e-14]","['inició', 9.037215420448774e-14]"
twitter,"['twitter', 0]","['Coyoacán', 2.589137246045148e-06]","['@_VicenteSerrano', 3.2384591376333205e-06]","['@JulietaRamirezP', 1.0676228447081826e-05]","['@Julieta_Kristal', 1.0676228447081826e-05]"
"antes,","['antes,', 0]","['ella.', 2.297498546965926e-08]","['otros,', 2.723932108761318e-07]","['uno.', 3.0355931046610607e-07]","['casa.', 7.216445253588333e-07]"
robos,"['robos', 0]","['llegues', 2.7755575615628914e-15]","['gane', 8.104628079763643e-15]","['maneja', 2.9531932455029164e-14]","['Doña', 3.497202527569243e-14]"
canasta,"['canasta', 0]","['deberás', 1.3037056828757443e-05]","['investidura', 2.028835860978795e-05]","['PRD', 2.4983654551169465e-05]","['PRI', 2.515358441301796e-05]"
criticando,"['criticando', 0]","['traidores', 1.4083531008068917e-09]","['circo?', 3.6221120547352825e-09]","['narco.', 8.143102858682028e-09]","['inteligentes,', 2.1367850489006912e-08]"
Día,"['Día', 0]","['estrategias', 6.994405055138486e-15]","['estés', 1.1024514634527804e-13]","['comienza', 6.864508961257343e-13]","['nació', 1.3440359936112145e-12]"
demostrando,"['demostrando', 0]","['farsante', 5.200935404570117e-07]","['farsante,', 5.200935404570117e-07]","['farsantes', 7.503323305346754e-06]","['pendejos,', 6.06695362532772e-05]"
orejas,"['orejas', 0]","['habia', 6.661338147750939e-16]","['opina', 5.995204332975845e-15]","['circo', 3.2307490016592055e-14]","['estupidez', 4.75175454539567e-14]"
inventar,"['Cabeza', 0]","['inventar', 0]","['valen', 9.992007221626409e-16]","['simpatía', 9.2148511043888e-15]","['defendiendo', 1.0547118733938987e-14]"
llenan,"['llenan', 0]","['perras', 8.453312949630032e-08]","['Lame', 4.347733938425691e-07]","['gobernadora', 6.091548150344295e-07]","['Demuestra', 1.0458509618338496e-06]"
re,"['re', 0]","['o', 1.6188050899756945e-11]","['del', 1.624866907690148e-11]","['in', 6.46321884900658e-11]","['A', 1.467848065317412e-10]"
hace.,"['hace.', 0]","['12.', 2.8242646110676617e-08]","['sí.', 1.132578580920196e-07]","['tú,', 1.4008427928757783e-07]","['callo', 3.443480254272657e-07]"
zopilota,"['zopilota', 0]","['TRAIDORES', 5.720355527472076e-05]","['obscuridad', 0.0006096234175486659]","['RESPETO', 0.0007051374354197781]","['morenacos', 0.0008395653366310984]"
i,"['i', 0]","['ve', 1.1538714428382946e-10]","['bien', 1.805674498811527e-10]","['Sí', 2.7819703207754287e-09]","['qué', 2.9563426151568706e-09]"
inseguros,"['inseguros', 0]","['Desgraciadamente', 2.8156581177718465e-08]","['suyo,', 7.944361857248339e-08]","['chole', 1.4507214884940112e-07]","['insulto', 2.1815237272182486e-07]"
@CiroGomezL,"['@CiroMurayamaINE', 0]","['@CiroGomezL', 0]","['@PROFEPA_Mx', 7.990938486912569e-06]","['@FelipeCalderon', 2.308965575659183e-05]","['""Muera', 3.2949407669846664e-05]"
naco,"['naco', 0]","['naca', 8.334233303486371e-11]","['compañeras', 2.72032123160848e-07]","['váyanse', 3.011998247481884e-07]","['pesitos', 8.891405044453293e-07]"
generosidad,"['generosidad', 0]","['Saludos', 2.886579864025407e-15]","['SUS', 3.3306690738754696e-15]","['atacan', 4.218847493575595e-15]","['ningun', 4.9960036108132044e-15]"
m,"['m', 0]","['la', 1.7291401643859672e-10]","['t', 3.0680669116378567e-10]","['q', 6.876449409887186e-10]","['s', 9.599699923867888e-10]"
"mentira,","['mentira,', 0]","['quitarte', 1.8636424070628266e-08]","['ajenos', 4.383255769457861e-08]","['feminismo', 5.659584445538712e-08]","['gratis.', 5.837810601594384e-08]"
reunión,"['reunión', 0]","['importancia', 1.187827614046455e-12]","['dirección', 2.110644992114885e-12]","['pronto', 2.1201929101266614e-12]","['60', 3.3144598177159423e-12]"
sabrá,"['sabrá', 0]","['dejará', 3.3306690738754696e-16]","['FIN', 6.5503158452884236e-15]","['promesas', 2.653433028854124e-14]","['cañón', 5.972999872483342e-14]"
pus,"['pus', 0]","['ojala', 2.5708001905044853e-07]","['uy', 4.1339349532432124e-07]","['enhorabuena', 5.034484948929219e-07]","['@Reforma', 1.4645838530835675e-06]"
burlas,"['burlas', 0]","['burlan', 1.3026624223755334e-10]","['aguantas', 1.978057746487849e-07]","['pendejos', 2.2030799873284934e-07]","['candidatas', 2.5552988358601425e-07]"
@CanalCongreso,"['@CanalCongreso', 0]","['@AlfonsoDurazo', 1.1385068010572041e-07]","['@LauraImelPerezS', 1.2259811377202112e-07]","['@CFEmx', 3.950577680089662e-05]","['@MetroCDMX', 4.770435027723341e-05]"
escuchó,"['escuchó', 0]","['Reforma', 6.661338147750939e-16]","['entendí', 1.2212453270876722e-15]","['peleas', 8.104628079763643e-15]","['lluvias', 1.1213252548714081e-13]"
ilusa,"['ilusa', 0]","['abrazos', 2.4337822779330054e-07]","['cambies', 3.4830994033452356e-07]","['cambien', 3.5532394304649273e-07]","['Ajá', 8.568622721361052e-07]"
fondos,"['fondos', 0]","['haga', 7.172040739078511e-14]","['fan', 2.865485626557529e-13]","['examen', 1.1453060722033115e-12]","['éste', 4.57256454922117e-12]"
mueran,"['mueran', 0]","['sacan', 2.1340481382026155e-08]","['Firme', 5.6340814014177454e-08]","['díganos', 5.046286145615753e-07]","['váyanse', 1.3262054000540147e-06]"
váyase,"['váyase', 0]","['Neta', 1.6759919230224796e-08]","['senadora', 4.7806884007073336e-08]","['servidora', 6.666907448327208e-08]","['avenidas', 1.3378605312475145e-07]"
lugar.,"['lugar.', 0]","['vida,', 3.0260546290961088e-09]","['favor.', 1.3951244015597553e-07]","['mal.', 3.1253115806428866e-07]","['nada.', 5.590293745694197e-07]"
L12?,"['L12?', 0]","['L12,', 1.798058605118058e-05]","['L12.', 2.4629281670351943e-05]","['@MaxKaiser75', 9.690064959855249e-05]","['@Mary_Luisa_AG', 0.00015239276275913483]"
#sismo,"['#sismo', 0]","['#DonPendejo', 1.1705638422565556e-05]","['#PRI', 1.559790326888244e-05]","['#Rebsamen', 6.842474759549688e-05]","['#RebsamenNoSeOlvida', 6.842474759549688e-05]"
mete,"['mete', 0]","['palacio', 7.105427357601002e-15]","['corrientes', 1.6209256159527285e-14]","['habló', 2.853273173286652e-14]","['nariz', 4.496403249731884e-14]"
NUESTRO,"['NUESTRO', 0]","['NUESTROS', 0]","['Amlo,', 0.00015436971715265813]","['madre!!!', 0.00043040294619856034]","['madre!!', 0.00043040294619856034]"
escrito,"['escrito', 0]","['Mientras', 1.6253665080512292e-13]","['crédito', 3.665956427312267e-13]","['Aún', 1.0146328222049306e-12]","['Crees', 1.467714838554457e-12]"
comprensión,"['comprensión', 0]","['locos', 1.2212453270876722e-15]","['juntas', 1.27675647831893e-14]","['campañas', 9.203748874142548e-14]","['verás', 1.7330581414398694e-13]"
DESDE,"['DESDE', 0]","['mejor!', 4.0217933771069525e-06]","['era?', 4.5515080011604425e-06]","['sembrar', 4.923833058390059e-06]","['esto,', 5.106208292970926e-06]"
objetivo,"['objetivo', 0]","['Desde', 8.020251129892131e-13]","['cuestión', 1.7987833444976786e-12]","['hermano', 1.8056667272503546e-12]","['minutos', 5.021538740379583e-12]"
"lado,","['lado,', 0]","['Gobierno,', 7.625165499014486e-09]","['seguro,', 6.85371417397107e-08]","['buena.', 2.014478643896922e-07]","['gobierno!', 3.465129255753041e-07]"
incompetencia,"['incompetencia', 0]","['corrupción!', 1.1619963002917899e-07]","['Presidenta.', 1.514712165695542e-07]","['nación.', 2.1456867249636247e-07]","['metro.', 2.3133556426024882e-07]"
cuestión,"['cuestión', 0]","['objetivo', 1.7987833444976786e-12]","['Desde', 5.00288699356588e-12]","['hermano', 7.208567076588679e-12]","['España', 9.73299218998136e-12]"
"hecho,","['hecho,', 0]","['Dios,', 2.8235545124211114e-08]","['mucho.', 3.980149998472626e-08]","['callo', 6.850675794423111e-07]","['12,', 7.082716645401277e-07]"
"palabras,","['palabras,', 0]","['miedo,', 5.225278931764166e-08]","['transporte.', 1.0871116540300818e-07]","['hacen.', 3.121377751824639e-07]","['pregunta,', 4.0589160099635535e-07]"
prefiero,"['prefiero', 0]","['electorales', 3.352873534367973e-14]","['cartel', 4.6629367034256575e-14]","['ahorrar', 5.395683899678261e-14]","['dedicación', 5.4067861299245124e-14]"
ejercicio,"['ejercicio', 0]","['fuerzas', 5.861977570020827e-14]","['área', 2.341460358934455e-13]","['temporada', 5.282441151166495e-13]","['cariño', 9.36362098968857e-13]"
Voy,"['Voy', 0]","['sería', 2.5623947408348613e-13]","['Oye', 4.086619931342739e-12]","['labor', 1.2490342093940399e-11]","['mayo', 1.647648684155456e-11]"
Cdmx,"['Cdmx', 0]","['hdp', 5.1377962884124884e-08]","['CdMx', 1.0969182673292721e-07]","['cdmx', 4.823029784439825e-07]","['cdmx.', 4.823029784439825e-07]"
guacamaya,"['guacamaya', 0]","['guacamayas', 0]","['NUESTRA', 8.270303524771094e-05]","['Sonora,', 0.00021114050135850881]","['genocida', 0.0006930175794690463]"
Miserable,"['Miserable', 0]","['OBRADOR', 0.00011399995254424145]","['trabajar...', 0.0002475622242209541]","['México!!!', 0.0003388471295721063]","['México!!', 0.0003388471295721063]"
reformas,"['reformas', 0]","['QUE', 3.4416913763379853e-15]","['agradecer', 3.552713678800501e-15]","['perros', 3.064215547965432e-14]","['profundo', 8.482103908136196e-14]"
veras,"['veras', 0]","['familiares', 2.5424107263916085e-14]","['cierta', 2.5424107263916085e-14]","['cola', 1.5853984791647235e-13]","['presentes', 1.588729148238599e-13]"
carece,"['carece', 0]","['involucrados', 7.771561172376096e-16]","['nube', 1.0325074129013956e-14]","['mostrando', 2.6978419498391304e-14]","['inundaciones', 3.11972669919669e-14]"
faltas,"['faltas', 0]","['cargar', 5.551115123125783e-16]","['deudas', 2.3314683517128287e-15]","['cabrón', 1.4210854715202004e-14]","['golpes', 2.0650148258027912e-14]"
"""El","['""El', 0]","['¿para', 1.7765033666350405e-08]","['no!', 5.1804380563069685e-08]","[',es', 7.821783609696098e-08]","['clasistas', 3.828497071367565e-06]"
segunda,"['segunda', 0]","['chica', 1.5987211554602254e-13]","['educación', 6.390443729742401e-13]","['Seguridad', 1.4419576643831533e-12]","['grande', 5.7377436135652715e-12]"
@KARLARABELO,"['@KARLARABELO', 0]","['AÑOS', 0.0011779969729611706]","['HABLA', 0.0018702250165597567]","['compadres', 0.0019758994092079485]","['HASTA', 0.002878670523164817]"
"moral,","['moral,', 0]","['Uds.', 6.268197516590135e-09]","['periodista.', 1.6279805947760906e-08]","['hablamos.', 1.0912863146472773e-07]","['votaria', 1.4701964179408833e-07]"
desprecio,"['desprecio', 0]","['aspirantes', 1.4099832412739488e-14]","['Diría', 2.5868196473766147e-14]","['racista', 2.7977620220553945e-14]","['riendo', 3.297362383136715e-14]"
Siguen,"['Siguen', 0]","['aprovecha', 1.3988810110276972e-14]","['provocan', 1.942890293094024e-14]","['generando', 2.098321516541546e-14]","['póngase', 4.596323321948148e-14]"
alv,"['alv', 0]","['DF', 3.96126320634238e-09]","['porq', 1.265150628704248e-08]","['Tv', 1.0205639278115797e-07]","['dr', 3.377500044088322e-07]"
político.,"['político.', 0]","['ciudadanos,', 2.3506263602257604e-10]","['fondo,', 6.039661992751633e-09]","['Alito', 6.124202478474672e-09]","['ejército?', 3.2334646515863597e-08]"
gritas,"['gritas', 0]","['gritan', 1.2797474191472702e-10]","['tardan', 1.4216887667117817e-08]","['PUES', 7.060054125762605e-07]","['porras', 7.198069939429175e-06]"
completa,"['completa', 0]","['gusto', 1.6764367671839864e-14]","['necesarios', 1.6764367671839864e-14]","['prisión', 1.5132339825640884e-13]","['caja', 1.5143442055887135e-13]"
"Presidente,","['Presidente,', 0]","['ley.', 2.8261349926950174e-08]","['cuanta', 1.4644778034700323e-07]","['madre.', 3.18019941603076e-07]","['problema.', 7.401335839762879e-07]"
demagogia,"['demagogia', 0]","['demagogia.', 0]","['frutsi', 6.791715104792484e-05]","['Demagogia', 0.000155352438957701]","['DELINCUENTES', 0.00033723618631875674]"
cama,"['cama', 0]","['estructura', 3.100852907778062e-13]","['Supongo', 8.637535131583718e-13]","['Debe', 1.6849854844736e-12]","['asuntos', 2.20001794559721e-12]"
sal,"['sal', 0]","['20', 2.0336843320478692e-11]","['ah', 4.5440429197185495e-11]","['tan', 8.157496900196293e-11]","['6', 1.258727566622042e-10]"
Mexicano,"['Mexicano', 0]","['pareciera', 2.9275735280442916e-08]","['electoral,', 3.3218316652927626e-08]","['organizado.', 3.369939749475748e-08]","['mental.', 7.896609444113523e-08]"
gastado,"['gastado', 0]","['logre', 2.8754776337791554e-14]","['INE', 5.939693181744587e-14]","['dirán', 2.1049828546892968e-13]","['sabrán', 2.431388423929093e-13]"
dolor,"['dolor', 0]","['malo', 1.7352785874891197e-13]","['movimiento', 3.9013237085328e-13]","['acuerdos', 1.0824674490095276e-12]","['43', 1.0871303857129533e-12]"
ganaste,"['ganaste', 0]","['enriquecimiento', 2.3314683517128287e-15]","['YA', 4.107825191113079e-15]","['estafa', 8.659739592076221e-15]","['Súper', 1.3877787807814457e-14]"
pierden,"['pierden', 0]","['gorda', 4.440892098500626e-15]","['logística', 2.0872192862952943e-14]","['ordena', 3.9745984281580604e-14]","['marihuana', 1.5154544286133387e-13]"
aplicar,"['aplicar', 0]","['recordar', 2.5424107263916085e-14]","['propios', 2.5424107263916085e-14]","['igualdad', 1.0158540675320182e-13]","['peso', 2.2870594307278225e-13]"
existía,"['existía', 0]","['lleven', 3.3306690738754696e-16]","['habíamos', 8.215650382226158e-15]","['tonterías', 1.2989609388114332e-14]","['acaso', 1.2989609388114332e-14]"
tweets,"['tweet', 0]","['tweets', 0]","['tweet,', 0]","['tweet.', 0]","['@JesusRCuevas', 2.8136687703073093e-06]"
saque,"['saque', 0]","['anda', 4.218847493575595e-15]","['tardes', 9.547918011776346e-15]","['verse', 1.6986412276764895e-14]","['Hacer', 2.653433028854124e-14]"
mamen,"['mamen', 0]","['patética', 3.212020394105508e-08]","['presidencia.', 3.6209929166197696e-08]","['patrón,', 5.555299698034588e-08]","['gesta', 5.847822381888079e-08]"
licencia,"['licencia', 0]","['supervisión', 9.992007221626409e-15]","['Necesitamos', 3.941291737419306e-14]","['fiscal', 1.5798473640415978e-13]","['revista', 4.817257703848554e-13]"
@DavidPramo2,"['@DavidPramo2', 0]","['@PatyArmendariz', 2.2175899783150044e-08]","['@AtypicalTeve', 2.4627654893194517e-06]","['@molotovmx', 6.869698542799618e-06]","['@VanConstruyendo', 8.948683119180956e-06]"
anunciar,"['anunciar', 0]","['aporte', 5.551115123125783e-16]","['cumpliendo', 8.659739592076221e-15]","['abrazo', 1.3766765505351941e-14]","['Saca', 1.3766765505351941e-14]"
Putin,"['Putin', 0]","['POS', 3.3306690738754696e-16]","['senadores', 1.8207657603852567e-14]","['deberia', 2.5868196473766147e-14]","['diccionario', 4.296563105299356e-14]"
"sociedad,","['sociedad,', 0]","['educación.', 3.322510711001314e-09]","['muerto,', 1.2573627805601006e-08]","['grande.', 7.993082284940556e-08]","['corazón,', 1.5361548899583966e-07]"
víctima,"['víctima', 0]","['socio', 3.469446951953614e-13]","['empleados', 4.705125178361413e-13]","['terrible', 4.722888746755416e-13]","['votación', 7.770450949351471e-13]"
mierda.,"['mierda.', 0]","['grande,', 4.582046742029888e-09]","['educación,', 2.58259137408956e-08]","['haces.', 2.954529099152836e-08]","['falta.', 1.176053507911945e-07]"
próximas,"['próximas', 0]","['imaginación', 1.7763568394002505e-15]","['Elena', 1.7319479184152442e-14]","['destruido', 3.097522238704187e-14]","['asesinos', 3.930189507173054e-14]"
enfrentar,"['enfrentar', 0]","['protocolo', 5.10702591327572e-15]","['encargo', 2.098321516541546e-14]","['pastel', 2.098321516541546e-14]","['responde', 3.297362383136715e-14]"
